theta_H,phi_H,theta_V,phi_V,R,G,B
0.181862,4.793114,1.171972,6.107309,13.713386,13.443849,12.770007
0.608912,1.575469,1.153861,2.682535,2.293372,2.245872,2.127121
0.311046,1.700908,0.748928,3.526280,2.182179,2.136512,2.022343
0.289136,4.599604,0.617260,1.257271,3.051949,2.988234,2.828946
0.933931,5.934910,0.919339,5.732554,0.000204,0.000200,0.000189
1.007297,3.509162,1.304248,4.221834,0.000314,0.000308,0.000291
0.509422,5.484173,0.391158,0.682774,0.003181,0.003114,0.002947
0.930134,4.611015,0.951121,4.967495,0.209233,0.204828,0.193816
0.681569,4.547462,0.892535,5.021625,0.131823,0.129048,0.122110
0.182427,4.619370,0.438237,4.024798,2.590554,2.536016,2.399671
0.363997,1.508735,1.114272,1.723180,2.371318,2.321480,2.196883
0.176310,4.692067,0.465285,5.491444,3.266027,3.197268,3.025373
0.241300,1.534927,1.110824,0.988183,5.763851,5.643601,5.342976
0.458081,4.723329,0.338471,5.220851,1.172122,1.147446,1.085755
0.095022,4.986572,0.594925,3.584150,3.200761,3.133386,2.964947
0.362347,3.604546,0.373554,4.030948,0.002589,0.002534,0.002398
0.397947,0.227283,1.011400,5.862631,0.002413,0.002362,0.002235
0.358248,3.667992,0.591344,0.017536,0.010119,0.009908,0.009381
0.361198,1.653803,0.450185,3.003412,1.398211,1.368776,1.295188
0.338026,1.398272,0.442553,5.453934,0.871571,0.853235,0.807397
0.051701,2.026421,0.233200,6.272585,2.736887,2.679269,2.535222
0.230977,1.676771,0.987322,0.235232,5.548887,5.434073,5.147039
0.929476,5.108175,1.211158,5.777590,0.009020,0.008831,0.008356
0.084700,4.978763,0.109441,6.038322,2.528271,2.475045,2.341978
0.932368,0.600995,1.304470,6.125010,0.000708,0.000693,0.000656
0.696020,0.595125,0.961037,6.238387,0.000656,0.000642,0.000608
0.208482,4.682672,0.982317,3.277649,7.824059,7.661846,7.256312
0.018413,1.362929,0.931587,1.363412,8.900020,8.714401,8.250356
0.114607,1.590456,0.907563,1.628376,6.331565,6.198601,5.866189
0.367205,3.259202,0.383552,3.385312,0.001625,0.001591,0.001505
0.338940,1.512706,0.432099,4.843677,2.707641,2.650742,2.508494
0.303854,4.843338,0.720197,5.133696,1.169376,1.144758,1.083212
0.017055,6.184126,0.405959,4.553366,3.557239,3.482350,3.295127
0.014050,0.422276,1.116722,3.259597,18.176962,17.819189,16.924757
0.386964,1.922618,0.273589,2.068464,0.062599,0.061281,0.057986
0.201571,4.252993,0.672978,3.379835,0.295490,0.289270,0.273719
0.445563,2.450582,0.675418,4.323696,0.005428,0.005314,0.005031
0.157567,4.279991,0.159305,1.953496,0.522607,0.511605,0.484099
0.613217,4.648893,0.360049,5.331196,0.616883,0.603896,0.571428
0.903364,0.754559,1.111813,0.122853,0.000749,0.000733,0.000694
0.370661,4.472259,0.567234,4.370282,0.211131,0.206686,0.195574
0.159507,4.490607,1.277618,0.653008,32.374966,31.972483,30.966274
0.507354,4.559777,0.882642,4.426493,0.298010,0.291736,0.276051
0.335615,4.657238,0.462978,2.357134,2.591863,2.537358,2.401093
0.314853,0.391814,0.751879,5.772596,0.005280,0.005169,0.004891
0.213433,4.540755,0.540108,6.095657,1.824057,1.785660,1.689667
0.061753,0.947179,0.467963,4.603938,2.101910,2.057661,1.947039
0.257916,1.101545,0.699814,1.451966,0.115004,0.112583,0.106530
1.031076,4.752735,0.820845,4.494632,0.483487,0.473308,0.447861
0.211511,2.964654,0.270432,1.182738,0.014009,0.013714,0.012976
0.671492,1.560378,0.137757,2.184073,0.984457,0.963733,0.911925
0.162747,4.647007,0.699374,3.530797,4.315430,4.224609,3.997555
0.094955,4.856267,0.952992,6.181676,8.559497,8.381352,7.935990
0.266306,1.747599,0.792286,4.144984,2.610614,2.556849,2.422435
0.041703,2.015095,1.327894,5.324367,39.481838,38.931770,37.556599
0.277338,5.067984,1.335484,6.120111,1.416127,1.389764,1.323856
0.281823,0.800552,0.893080,2.211072,0.036658,0.035892,0.033975
0.144991,5.218422,0.694767,3.402054,0.767207,0.751077,0.710750
1.006458,0.191259,1.255448,6.014104,0.000238,0.000233,0.000220
0.217570,4.655619,1.106607,3.051977,12.356209,12.112388,11.502831
0.506821,1.393263,1.203763,1.642266,0.341864,0.334674,0.316699
0.213778,1.761444,1.331916,1.061186,6.068826,5.952476,5.661602
0.150977,4.801174,1.124688,5.273425,8.315918,8.144342,7.715406
0.382009,1.514954,0.326239,2.278261,1.289704,1.262552,1.194673
0.633659,1.704732,0.906658,1.513779,0.221833,0.217162,0.205487
0.383335,1.564856,0.572786,6.143981,2.555329,2.501585,2.367225
0.346127,4.369979,1.079291,3.220340,0.295716,0.289591,0.274279
0.140410,1.747661,0.873528,0.931431,4.093538,4.007546,3.792568
0.333778,1.592982,1.028447,0.405500,4.743156,4.644480,4.397787
0.196969,5.633028,0.126335,5.427099,0.034147,0.033428,0.031631
0.318977,4.856121,0.400869,6.281152,0.974409,0.953896,0.902612
0.400941,0.612560,0.827345,0.508529,0.003147,0.003081,0.002915
0.905464,3.082273,0.475943,3.045644,0.000295,0.000289,0.000273
0.353242,5.914903,1.204689,4.565287,0.010552,0.010347,0.009835
0.371838,4.788901,0.353087,5.219153,1.104725,1.081467,1.023324
0.819212,5.629821,0.478198,5.506071,0.000541,0.000530,0.000501
0.690745,5.699770,0.740077,0.347888,0.000672,0.000658,0.000622
0.509515,3.448129,0.064896,3.246595,0.000851,0.000834,0.000789
0.874649,1.982424,1.215832,1.282768,0.008124,0.007953,0.007526
0.587206,0.997973,0.191386,0.028572,0.005016,0.004910,0.004646
0.066084,6.031376,0.322560,5.262147,0.589073,0.576671,0.545668
0.187146,1.541547,0.590987,1.266281,3.241187,3.172952,3.002364
0.312273,0.214851,0.890277,5.410529,0.005692,0.005573,0.005274
0.035175,1.304916,1.231454,5.732703,28.444702,27.934618,26.659407
0.170595,1.862192,0.356830,2.910896,0.980301,0.959663,0.908068
0.394789,0.213179,0.810264,0.902790,0.001820,0.001781,0.001685
0.284487,1.690292,1.429350,3.457783,95.273285,94.605324,92.935402
0.421389,3.224689,0.307910,4.553592,0.001261,0.001234,0.001168
0.327828,4.495625,1.426598,3.494490,4.213721,4.139716,3.954703
0.693379,4.905130,1.431881,4.589675,0.174905,0.171231,0.162046
0.058938,4.698320,0.226609,3.740683,3.801956,3.721915,3.521812
0.284441,4.029449,0.217723,6.215557,0.026782,0.026218,0.024809
0.184785,1.665815,0.416171,2.746158,2.658064,2.602105,2.462207
0.842621,0.815158,1.092108,1.564190,0.001065,0.001043,0.000987
